ID	LENGTH	OVERLAP	ERROR	PVALUE
ERR346600.265	398	104	0.0481	1.1102e-16
ERR346600.271	398	104	0.0000	1.1102e-16
ERR346600.272	392	110	0.0545	1.1102e-16
ERR346600.270	389	113	0.0619	1.1102e-16
ERR346600.274	386	116	0.0345	1.1102e-16
ERR346600.275	398	104	0.0192	1.1102e-16
ERR346600.273	386	116	0.1466	1.1102e-16
ERR346600.277	389	113	0.0088	1.1102e-16
ERR346600.278	398	104	0.0000	1.1102e-16
ERR346600.276	404	98	0.0612	1.1102e-16
ERR346600.280	395	107	0.0467	1.1102e-16
ERR346600.279	398	104	0.0192	1.1102e-16
ERR346600.281	395	107	0.0187	1.1102e-16
ERR346600.282	398	104	0.0096	1.1102e-16
ERR346600.285	396	106	0.0000	1.1102e-16
ERR346600.284	407	95	0.0211	1.1102e-16
ERR346600.283	389	113	0.0177	1.1102e-16
ERR346600.289	398	104	0.0000	1.1102e-16
ERR346600.288	389	113	0.0177	1.1102e-16
ERR346600.287	389	113	0.0177	1.1102e-16
ERR346600.290	386	116	0.0000	1.1102e-16
ERR346600.291	401	101	0.0000	1.1102e-16
ERR346600.286	410	92	0.0109	1.1102e-16
ERR346600.292	392	110	0.0091	1.1102e-16
ERR346600.293	401	101	0.0000	1.1102e-16
ERR346600.296	404	98	0.0612	1.1102e-16
ERR346600.297	392	110	0.0000	1.1102e-16
ERR346600.294	392	110	0.0000	1.1102e-16
ERR346600.295	382	120	0.4000	3.5647e-16
ERR346600.298	469	33	0.5152	1.9720e-03
ERR346600.299	389	113	0.0088	1.1102e-16
ERR346600.300	336	166	0.0060	1.1102e-16
ERR346600.302	386	116	0.0172	1.1102e-16
ERR346600.303	392	110	0.0636	1.1102e-16
ERR346600.301	416	86	0.0116	1.1102e-16
ERR346600.305	407	95	0.0737	1.1102e-16
ERR346600.304	392	110	0.0545	1.1102e-16
ERR346600.306	395	107	0.0000	1.1102e-16
ERR346600.308	395	107	0.0374	1.1102e-16
ERR346600.307	398	104	0.0288	1.1102e-16
ERR346600.310	398	104	0.0000	1.1102e-16
ERR346600.309	389	113	0.0354	1.1102e-16
ERR346600.311	392	110	0.0091	1.1102e-16
ERR346600.312	386	116	0.0086	1.1102e-16
ERR346600.315	401	101	0.0000	1.1102e-16
ERR346600.314	395	107	0.0000	1.1102e-16
ERR346600.313	389	113	0.0088	1.1102e-16
ERR346600.316	395	107	0.0000	1.1102e-16
ERR346600.318	404	98	0.0102	1.1102e-16
ERR346600.317	337	165	0.0000	1.1102e-16
ERR346600.319	395	107	0.0000	1.1102e-16
ERR346600.321	398	104	0.0000	1.1102e-16
ERR346600.320	410	92	0.0217	1.1102e-16
ERR346600.323	389	113	0.0177	1.1102e-16
ERR346600.325	407	95	0.0105	1.1102e-16
ERR346600.326	386	116	0.0000	1.1102e-16
ERR346600.324	383	119	0.0084	1.1102e-16
ERR346600.322	396	106	0.0377	1.1102e-16
ERR346600.327	383	119	0.0924	1.1102e-16
ERR346600.331	398	104	0.0000	1.1102e-16
ERR346600.328	292	210	0.6524	8.0910e-04
ERR346600.330	395	107	0.3738	1.2688e-16
ERR346600.329	395	107	0.0000	1.1102e-16
ERR346600.332	389	113	0.0531	1.1102e-16
ERR346600.334	395	107	0.0000	1.1102e-16
ERR346600.333	395	107	0.0467	1.1102e-16
ERR346600.335	398	104	0.0000	1.1102e-16
ERR346600.336	398	104	0.0865	1.1102e-16
ERR346600.337	404	98	0.0000	1.1102e-16
ERR346600.339	398	104	0.0096	1.1102e-16
ERR346600.338	410	92	0.0761	1.1102e-16
ERR346600.342	386	116	0.0776	1.1102e-16
ERR346600.343	395	107	0.0000	1.1102e-16
ERR346600.340	401	101	0.0297	1.1102e-16
ERR346600.341	380	122	0.0328	1.1102e-16
ERR346600.344	401	101	0.0000	1.1102e-16
ERR346600.345	401	101	0.0297	1.1102e-16
ERR346600.346	386	116	0.0345	1.1102e-16
ERR346600.348	398	104	0.0192	1.1102e-16
ERR346600.351	398	104	0.0096	1.1102e-16
ERR346600.349	398	104	0.0096	1.1102e-16
ERR346600.350	394	108	0.0000	1.1102e-16
ERR346600.354	380	122	0.0082	1.1102e-16
ERR346600.347	398	104	0.0192	1.1102e-16
ERR346600.353	389	113	0.0000	1.1102e-16
ERR346600.352	404	98	0.1327	1.1102e-16
ERR346600.355	398	104	0.0385	1.1102e-16
ERR346600.356	392	110	0.0000	1.1102e-16
ERR346600.359	398	104	0.0192	1.1102e-16
ERR346600.358	394	108	0.5648	1.4680e-05
ERR346600.357	401	101	0.1287	1.1102e-16
ERR346600.362	398	104	0.0192	1.1102e-16
ERR346600.360	410	92	0.0217	1.1102e-16
ERR346600.361	404	98	0.0000	1.1102e-16
ERR346600.365	399	103	0.0194	1.1102e-16
ERR346600.363	398	104	0.0000	1.1102e-16
ERR346600.364	404	98	0.0408	1.1102e-16
ERR346600.367	392	110	0.3636	1.0516e-16
ERR346600.368	395	107	0.0561	1.1102e-16
ERR346600.366	392	110	0.0000	1.1102e-16
ERR346600.369	413	89	0.0000	1.1102e-16
ERR346600.371	401	101	0.0099	1.1102e-16
ERR346600.372	392	110	0.0000	1.1102e-16
ERR346600.373	401	101	0.0198	1.1102e-16
ERR346600.370	398	104	0.0288	1.1102e-16
ERR346600.377	389	113	0.0000	1.1102e-16
ERR346600.374	392	110	0.1182	1.1102e-16
ERR346600.375	398	104	0.0000	1.1102e-16
ERR346600.378	389	113	0.0088	1.1102e-16
ERR346600.376	395	107	0.0000	1.1102e-16
ERR346600.383	398	104	0.0385	1.1102e-16
ERR346600.379	389	113	0.0000	1.1102e-16
ERR346600.382	398	104	0.0577	1.1102e-16
ERR346600.380	389	113	0.0000	1.1102e-16
ERR346600.384	404	98	0.0408	1.1102e-16
ERR346600.386	410	92	0.0109	1.1102e-16
ERR346600.381	401	101	0.0198	1.1102e-16
ERR346600.387	398	104	0.0000	1.1102e-16
ERR346600.385	389	113	0.0000	1.1102e-16
ERR346600.389	389	113	0.2124	1.1102e-16
ERR346600.392	407	95	0.0421	1.1102e-16
ERR346600.388	392	110	0.0091	1.1102e-16
ERR346600.391	389	113	0.0177	1.1102e-16
ERR346600.394	389	113	0.0000	1.1102e-16
ERR346600.390	395	107	0.0093	1.1102e-16
ERR346600.396	389	113	0.1858	1.1102e-16
ERR346600.395	398	104	0.0000	1.1102e-16
ERR346600.393	407	95	0.0000	1.1102e-16
ERR346600.399	394	108	0.0463	1.1102e-16
ERR346600.400	401	101	0.0099	1.1102e-16
ERR346600.398	410	92	0.0000	1.1102e-16
ERR346600.401	398	104	0.0000	1.1102e-16
ERR346600.397	398	104	0.0673	1.1102e-16
ERR346600.403	285	217	0.6359	9.8223e-05
ERR346600.407	392	110	0.0364	1.1102e-16
ERR346600.402	386	116	0.0000	1.1102e-16
ERR346600.404	389	113	0.0000	1.1102e-16
ERR346600.408	389	113	0.0354	1.1102e-16
ERR346600.405	392	110	0.0091	1.1102e-16
ERR346600.409	398	104	0.0192	1.1102e-16
ERR346600.406	395	107	0.0000	1.1102e-16
ERR346600.411	380	122	0.0082	1.1102e-16
ERR346600.410	401	101	0.0396	1.1102e-16
ERR346600.413	399	103	0.0000	1.1102e-16
ERR346600.414	392	110	0.0000	1.1102e-16
ERR346600.412	410	92	0.0543	1.1102e-16
ERR346600.415	395	107	0.0000	1.1102e-16
ERR346600.417	336	166	0.0000	1.1102e-16
ERR346600.416	401	101	0.0297	1.1102e-16
ERR346600.419	395	107	0.0561	1.1102e-16
ERR346600.420	388	114	0.0000	1.1102e-16
ERR346600.418	392	110	0.0091	1.1102e-16
ERR346600.422	392	110	0.0000	1.1102e-16
ERR346600.421	395	107	0.0093	1.1102e-16
ERR346600.424	413	89	0.0000	1.1102e-16
ERR346600.425	398	104	0.0096	1.1102e-16
ERR346600.423	401	101	0.0099	1.1102e-16
ERR346600.427	395	107	0.0000	1.1102e-16
ERR346600.428	395	107	0.0841	1.1102e-16
ERR346600.426	401	101	0.0000	1.1102e-16
ERR346600.429	395	107	0.2523	1.1102e-16
ERR346600.431	389	113	0.0177	1.1102e-16
ERR346600.432	401	101	0.0693	1.1102e-16
ERR346600.430	383	119	0.0000	1.1102e-16
ERR346600.434	386	116	0.0000	1.1102e-16
ERR346600.433	395	107	0.0000	1.1102e-16
ERR346600.435	398	104	0.2981	1.1102e-16
ERR346600.439	407	95	0.0105	1.1102e-16
ERR346600.436	416	86	0.0000	1.1102e-16
ERR346600.438	383	119	0.0336	1.1102e-16
ERR346600.441	401	101	0.0099	1.1102e-16
ERR346600.437	389	113	0.0088	1.1102e-16
ERR346600.443	392	110	0.0273	1.1102e-16
ERR346600.440	403	99	0.0404	1.1102e-16
ERR346600.446	401	101	0.0297	1.1102e-16
ERR346600.444	395	107	0.1028	1.1102e-16
ERR346600.442	395	107	0.0093	1.1102e-16
ERR346600.445	389	113	0.0000	1.1102e-16
ERR346600.447	398	104	0.0192	1.1102e-16
ERR346600.448	398	104	0.0192	1.1102e-16
ERR346600.449	404	98	0.0510	1.1102e-16
ERR346600.451	392	110	0.0455	1.1102e-16
ERR346600.452	392	110	0.0000	1.1102e-16
ERR346600.450	395	107	0.0093	1.1102e-16
ERR346600.453	414	88	0.0227	1.1102e-16
ERR346600.455	404	98	0.0612	1.1102e-16
ERR346600.458	410	92	0.0870	1.1102e-16
ERR346600.456	393	109	0.0000	1.1102e-16
